"latin_word","rune_word","rune_indices","weight"
"and","ᚪᚾᛞ","24 9 23",47937009783
"that","ᚦᚪᛏ","2 24 16",16276870590
"for","ᚠᚩᚱ","0 3 4",15302403424
"with","ᚹᛁᚦ","7 10 2",10472207810
"was","ᚹᚪᛋ","7 24 15",10290956601
"not","ᚾᚩᛏ","9 3 16",9118812037
"this","ᚦᛁᛋ","2 10 15",8084426385
"are","ᚪᚱᛖ","24 4 18",7686253918
"his","ᚻᛁᛋ","8 10 15",6001457265
"but","ᛒᚢᛏ","17 1 16",4940207625
"you","ᚣᚩᚢ","26 3 1",4434432450
"they","ᚦᛖᚣ","2 18 26",4255929523
"had","ᚻᚪᛞ","8 24 23",4241569818
"all","ᚪᛚᛚ","24 20 20",4097656285
"one","ᚩᚾᛖ","3 9 18",4006782287
"has","ᚻᚪᛋ","8 24 15",3731968847
"can","ᚳᚪᚾ","5 24 9",3073208113
"her","ᚻᛖᚱ","8 18 4",2883272435
"may","ᛗᚪᚣ","19 24 26",2867120901
"its","ᛁᛏᛋ","10 16 15",2679098778
"who","ᚹᚻᚩ","7 8 3",2600673223
"any","ᚪᚾᚣ","24 9 26",2485783811
"she","ᛋᚻᛖ","15 8 18",2446135695
"new","ᚾᛖᚹ","9 18 7",2424203133
"than","ᚦᚪᚾ","2 24 9",2379181451
"them","ᚦᛖᛗ","2 18 19",2087397343
"two","ᛏᚹᚩ","16 7 3",2051113791
"out","ᚩᚢᛏ","3 1 16",2033382853
"him","ᚻᛁᛗ","8 10 19",2010147182
"our","ᚩᚢᚱ","3 1 4",1826767081
"see","ᛋᛖᛖ","15 18 18",1673284865
"then","ᚦᛖᚾ","2 18 9",1559865956
"now","ᚾᚩᚹ","9 3 7",1385629919
"each","ᛠᚳᚻ","28 5 8",1323176483
"being","ᛒᛖᛝ","17 18 21",1302616777
"did","ᛞᛁᛞ","23 10 23",1285300870
"year","ᚣᛠᚱ","26 28 4",1281766354
"use","ᚢᛋᛖ","1 15 18",1214896947
"how","ᚻᚩᚹ","8 3 7",1111042424
"both","ᛒᚩᚦ","17 3 2",1042206477
"per","ᛈᛖᚱ","13 18 4",999866129
"act","ᚪᚳᛏ","24 5 16",990647463
"way","ᚹᚪᚣ","7 24 26",988676161
"day","ᛞᚪᚣ","23 24 26",978692033
"man","ᛗᚪᚾ","19 24 9",963720636
"long","ᛚᚩᛝ","20 3 21",910870509
"law","ᛚᚪᚹ","20 24 7",907279870
"own","ᚩᚹᚾ","3 7 9",852623648
"does","ᛞᛟᛋ","23 22 15",832671954
"men","ᛗᛖᚾ","19 18 9",744149727
"old","ᚩᛚᛞ","3 20 23",666296365
"too","ᛏᚩᚩ","16 3 3",652537030
"end","ᛖᚾᛞ","18 9 23",628907448
"get","ᚷᛖᛏ","6 18 16",621125512
"set","ᛋᛖᛏ","15 18 16",621080365
"say","ᛋᚪᚣ","15 24 26",613162140
"thus","ᚦᚢᛋ","2 1 15",594275261
"few","ᚠᛖᚹ","0 18 7",583313198
"off","ᚩᚠᚠ","3 0 0",567686961
"area","ᚪᚱᛠ","24 4 28",567130842
"war","ᚹᚪᚱ","7 24 4",564014475
"god","ᚷᚩᛞ","6 3 23",536301750
"far","ᚠᚪᚱ","0 24 4",532571515
"yet","ᚣᛖᛏ","26 18 16",508822233
"air","ᚪᛁᚱ","24 10 4",463719867
"head","ᚻᛠᛞ","8 28 23",462461513
"put","ᛈᚢᛏ","13 1 16",456646714
"let","ᛚᛖᛏ","20 18 16",446308118
"due","ᛞᚢᛖ","23 1 18",439255328
"using","ᚢᛋᛝ","1 15 21",428556446
"things","ᚦᛝᛋ","2 21 15",428378163
"why","ᚹᚻᚣ","7 8 26",424473621
"going","ᚷᚩᛝ","6 3 21",423516725
"age","ᚪᚷᛖ","24 6 18",412117977
"low","ᛚᚩᚹ","20 3 7",408425862
"tax","ᛏᚪᛉ","16 24 14",381764837
"death","ᛞᛠᚦ","23 28 2",379875407
"real","ᚱᛠᛚ","4 28 20",363342067
"read","ᚱᛠᛞ","4 28 23",349436330
"near","ᚾᛠᚱ","9 28 4",334780632
"non","ᚾᚩᚾ","9 3 9",334691847
"pay","ᛈᚪᚣ","13 24 26",334390956
"six","ᛋᛁᛉ","15 10 14",322242684
"nor","ᚾᚩᚱ","9 3 4",317646354
"sir","ᛋᛁᚱ","15 10 4",312108388
"east","ᛠᛋᛏ","28 15 16",309315323
"art","ᚪᚱᛏ","24 4 16",301837396
"got","ᚷᚩᛏ","6 3 16",290621420
"mean","ᛗᛠᚾ","19 28 9",288165407
"fig","ᚠᛁᚷ","0 10 6",275519890
"saw","ᛋᚪᚹ","15 24 7",262229127
"son","ᛋᚩᚾ","15 3 9",250796109
"yes","ᚣᛖᛋ","26 18 15",249265717
"red","ᚱᛖᛞ","4 18 23",245409599
"ten","ᛏᛖᚾ","16 18 9",237535473
"idea","ᛁᛞᛠ","10 23 28",226913519
"top","ᛏᚩᛈ","16 3 13",223237171
"doing","ᛞᚩᛝ","23 3 21",218498046
"run","ᚱᚢᚾ","4 1 9",215528492
"cut","ᚳᚢᛏ","5 1 16",211123258
"lead","ᛚᛠᛞ","20 28 23",206743865
"earth","ᛠᚱᚦ","28 4 2",204967711
"bring","ᛒᚱᛝ","17 4 21",204547719
"job","ᛂᚩᛒ","11 3 17",203721305
"ask","ᚪᛋᚳ","24 15 5",195876216
"heat","ᚻᛠᛏ","8 28 16",189713833
"box","ᛒᚩᛉ","17 3 14",188304537
"big","ᛒᛁᚷ","17 10 6",187922383
"car","ᚳᚪᚱ","5 24 4",184003248
"ago","ᚪᚷᚩ","24 6 3",180184026
"deal","ᛞᛠᛚ","23 28 20",178351067
"aid","ᚪᛁᛞ","24 10 23",177456288
"met","ᛗᛖᛏ","19 18 16",175378898
"net","ᚾᛖᛏ","9 18 16",173312067
"led","ᛚᛖᛞ","20 18 23",170138734
"sec","ᛋᛖᚳ","15 18 5",166206497
"key","ᚳᛖᚣ","5 18 26",165057374
"lot","ᛚᚩᛏ","20 3 16",161839348
"hear","ᚻᛠᚱ","8 28 4",155904371
"sum","ᛋᚢᛗ","15 1 19",155240692
"dead","ᛞᛠᛞ","23 28 23",152021594
"add","ᚪᛞᛞ","24 23 23",151263450
"bad","ᛒᚪᛞ","17 24 23",151062418
"bed","ᛒᛖᛞ","17 18 23",147185022
"try","ᛏᚱᚣ","16 4 26",147051755
"eye","ᛖᚣᛖ","18 26 18",143992217
"easy","ᛠᛋᚣ","28 15 26",143664342
"bar","ᛒᚪᚱ","17 24 4",142548605
"sun","ᛋᚢᚾ","15 1 9",140095512
"dry","ᛞᚱᚣ","23 4 26",133651438
"fear","ᚠᛠᚱ","0 28 4",129736537
"lay","ᛚᚪᚣ","20 24 26",128143448
"boy","ᛒᚩᚣ","17 3 26",127727391
"die","ᛞᛁᛖ","23 10 18",124890793
"hot","ᚻᚩᛏ","8 3 16",121008283
"goes","ᚷᛟᛋ","6 22 15",116178504
"bear","ᛒᛠᚱ","17 28 4",107621679
"sat","ᛋᚪᛏ","15 24 16",106179527
"team","ᛏᛠᛗ","16 28 19",105021791
"ill","ᛁᛚᛚ","10 20 20",104437284
"arm","ᚪᚱᛗ","24 4 19",100873695
"bit","ᛒᛁᛏ","17 10 16",99855422
"bay","ᛒᚪᚣ","17 24 26",98892762
"map","ᛗᚪᛈ","19 24 13",96482451
"fit","ᚠᛁᛏ","0 10 16",95744989
"dear","ᛞᛠᚱ","23 28 4",95222095
"ice","ᛁᚳᛖ","10 5 18",94304735
"path","ᛈᚪᚦ","13 24 2",91474211
"buy","ᛒᚢᚣ","17 1 26",87126620
"lie","ᛚᛁᛖ","20 10 18",86642355
"thin","ᚦᛁᚾ","2 10 9",85495464
"fee","ᚠᛖᛖ","0 18 18",81644131
"ran","ᚱᚪᚾ","4 24 9",77301014
"ray","ᚱᚪᚣ","4 24 26",76632162
"seat","ᛋᛠᛏ","15 28 16",76536414
"com","ᚳᚩᛗ","5 3 19",73860572
"mid","ᛗᛁᛞ","19 10 23",72643747
"fed","ᚠᛖᛞ","0 18 23",70513577
"dog","ᛞᚩᚷ","23 3 6",69679480
"weak","ᚹᛠᚳ","7 28 5",69512168
"thee","ᚦᛖᛖ","2 18 18",69348278
"sit","ᛋᛁᛏ","15 10 16",69219874
"meat","ᛗᛠᛏ","19 28 16",67257633
"pro","ᛈᚱᚩ","13 4 3",66601637
"song","ᛋᚩᛝ","15 3 21",65288797
"web","ᚹᛖᛒ","7 18 17",65144395
"fat","ᚠᚪᛏ","0 24 16",64010995
"min","ᛗᛁᚾ","19 10 9",61935066
"raw","ᚱᚪᚹ","4 24 7",60855771
"peak","ᛈᛠᚳ","13 28 5",60724168
"lying","ᛚᚣᛝ","20 26 21",60467170
"sin","ᛋᛁᚾ","15 10 9",58536649
"owing","ᚩᚹᛝ","3 7 21",57908644
"hit","ᚻᛁᛏ","8 10 16",57895092
"poet","ᛈᛟᛏ","13 22 16",57335594
"cup","ᚳᚢᛈ","5 1 13",56784118
"row","ᚱᚩᚹ","4 3 7",55591079
"sky","ᛋᚳᚣ","15 5 26",55507045
"gun","ᚷᚢᚾ","6 1 9",55348038
"wear","ᚹᛠᚱ","7 28 4",55313214
"aim","ᚪᛁᛗ","24 10 19",54860528
"joy","ᛂᚩᚣ","11 3 26",54078544
"wet","ᚹᛖᛏ","7 18 16",53321306
"earl","ᛠᚱᛚ","28 4 20",53067461
"leaf","ᛚᛠᚠ","20 28 0",52055009
"era","ᛖᚱᚪ","18 4 24",51390586
"app","ᚪᛈᛈ","24 13 13",49882816
"poem","ᛈᛟᛗ","13 22 19",48928955
"rear","ᚱᛠᚱ","4 28 4",48699238
"win","ᚹᛁᚾ","7 10 9",48307167
"bus","ᛒᚢᛋ","17 1 15",47691447
"pub","ᛈᚢᛒ","13 1 17",47237839
"fly","ᚠᛚᚣ","0 20 26",46822071
"arc","ᚪᚱᚳ","24 4 5",46147627
"www","ᚹᚹᚹ","7 7 7",45781576
"gap","ᚷᚪᛈ","6 24 13",45456377
"leg","ᛚᛖᚷ","20 18 6",44598581
"seal","ᛋᛠᛚ","15 28 20",44495286
"cap","ᚳᚪᛈ","5 24 13",43762573
"meal","ᛗᛠᛚ","19 28 20",43583497
"eating","ᛠᛏᛝ","28 16 21",42615780
"dean","ᛞᛠᚾ","23 28 9",42313564
"kings","ᚳᛝᛋ","5 21 15",41862659
"cat","ᚳᚪᛏ","5 24 16",41810641
"bag","ᛒᚪᚷ","17 24 6",41484507
"egg","ᛖᚷᚷ","18 6 6",41298898
"ease","ᛠᛋᛖ","28 15 18",41265336
"dam","ᛞᚪᛗ","23 24 19",41048124
"ears","ᛠᚱᛋ","28 4 15",40508375
"cry","ᚳᚱᚣ","5 4 26",40299069
"beat","ᛒᛠᛏ","17 28 16",40200174
"bath","ᛒᚪᚦ","17 24 2",39567329
"tip","ᛏᛁᛈ","16 10 13",39120934
"pan","ᛈᚪᚾ","13 24 9",38699406
"log","ᛚᚩᚷ","20 3 6",38399221
"hat","ᚻᚪᛏ","8 24 16",38346073
"mix","ᛗᛁᛉ","19 10 14",37285381
"oak","ᚩᚪᚳ","3 24 5",37226885
"wings","ᚹᛝᛋ","7 21 15",36903867
"del","ᛞᛖᛚ","23 18 20",36368544
"pen","ᛈᛖᚾ","13 18 9",35730964
"dying","ᛞᚣᛝ","23 26 21",35690838
"max","ᛗᚪᛉ","19 24 14",35636274
"hung","ᚻᚢᛝ","8 1 21",34878503
"fun","ᚠᚢᚾ","0 1 9",34726027
"bid","ᛒᛁᛞ","17 10 23",34011237
"sad","ᛋᚪᛞ","15 24 23",33957966
"gear","ᚷᛠᚱ","6 28 4",33013106
"fix","ᚠᛁᛉ","0 10 14",32332243
"singing","ᛋᛝᛝ","15 21 21",32317444
"oath","ᚩᚪᚦ","3 24 2",31725312
"odd","ᚩᛞᛞ","3 23 23",31524976
"wit","ᚹᛁᛏ","7 10 16",30902705
"etc","ᛖᛏᚳ","18 16 5",30306582
"tie","ᛏᛁᛖ","16 10 18",30172974
"bow","ᛒᚩᚹ","17 3 7",29127970
"plea","ᛈᛚᛠ","13 20 28",28090633
"bias","ᛒᛡᛋ","17 27 15",27993725
"rings","ᚱᛝᛋ","4 21 15",27967501
"ref","ᚱᛖᚠ","4 18 0",26998220
"mad","ᛗᚪᛞ","19 24 23",26904417
"oct","ᚩᚳᛏ","3 5 16",26102180
"aging","ᚪᚷᛝ","24 6 21",24407653
"lit","ᛚᛁᛏ","20 10 16",24165683
"beg","ᛒᛖᚷ","17 18 6",24077111
"seas","ᛋᛠᛋ","15 28 15",23172434
"earn","ᛠᚱᚾ","28 4 9",22865287
"pop","ᛈᚩᛈ","13 3 13",22846496
"inn","ᛁᚾᚾ","10 9 9",22582982
"apt","ᚪᛈᛏ","24 13 16",22572418
"math","ᛗᚪᚦ","19 24 2",22336233
"eve","ᛖᚢᛖ","18 1 18",22312606
"lion","ᛚᛡᚾ","20 27 9",22273625
"rid","ᚱᛁᛞ","4 10 23",21715382
"hang","ᚻᚪᛝ","8 24 21",21689946
"shoe","ᛋᚻᛟ","15 8 22",21594987
"ate","ᚪᛏᛖ","24 16 18",20898815
"myth","ᛗᚣᚦ","19 26 2",20475966
"pet","ᛈᛖᛏ","13 18 16",20224173
"doc","ᛞᚩᚳ","23 3 5",18818707
"deaf","ᛞᛠᚠ","23 28 0",18574304
"swing","ᛋᚹᛝ","15 7 21",18052051
"owe","ᚩᚹᛖ","3 7 18",18005774
"lean","ᛚᛠᚾ","20 28 9",17262631
"tor","ᛏᚩᚱ","16 3 4",16883302
"ego","ᛖᚷᚩ","18 6 3",16202624
"sang","ᛋᚪᛝ","15 24 21",15604710
"tar","ᛏᚪᚱ","16 24 4",15223646
"sung","ᛋᚢᛝ","15 1 21",14697329
"dot","ᛞᚩᛏ","23 3 16",14288127
"var","ᚢᚪᚱ","1 24 4",14026300
"neat","ᚾᛠᛏ","9 28 16",13858492
"fog","ᚠᚩᚷ","0 3 6",13321432
"bin","ᛒᛁᚾ","17 10 9",12564934
"tag","ᛏᚪᚷ","16 24 6",12365865
"heath","ᚻᛠᚦ","8 28 2",12215612
"rang","ᚱᚪᛝ","4 24 21",12195500
"dial","ᛞᛡᛚ","23 27 20",12182580
"lid","ᛚᛁᛞ","20 10 23",12033476
"bye","ᛒᚣᛖ","17 26 18",11142786
"pad","ᛈᚪᛞ","13 24 23",11110767
"lib","ᛚᛁᛒ","20 10 17",11087060
"toy","ᛏᚩᚣ","16 3 26",10759031
"yang","ᚣᚪᛝ","26 24 21",10736390
"rot","ᚱᚩᛏ","4 3 16",10726002
"abc","ᚪᛒᚳ","24 17 5",10705537
"hid","ᚻᛁᛞ","8 10 23",10615569
"leap","ᛚᛠᛈ","20 28 13",10546263
"lag","ᛚᚪᚷ","20 24 6",10451592
"deg","ᛞᛖᚷ","23 18 6",9945565
"heal","ᚻᛠᛚ","8 28 20",9811513
"phi","ᛈᚻᛁ","13 8 10",9679520
"heap","ᚻᛠᛈ","8 28 13",9617748
"dos","ᛞᚩᛋ","23 3 15",9595237
"iso","ᛁᛋᚩ","10 15 3",9477247
"awe","ᚪᚹᛖ","24 7 18",9118306
"nil","ᚾᛁᛚ","9 10 20",8772801
"spy","ᛋᛈᚣ","15 13 26",8485297
"leak","ᛚᛠᚳ","20 28 5",8412409
"ringing","ᚱᛝᛝ","4 21 21",8397857
"moth","ᛗᚩᚦ","19 3 2",8377585
"zip","ᛋᛁᛈ","15 10 13",7884490
"url","ᚢᚱᛚ","1 4 20",7227061
"mod","ᛗᚩᛞ","19 3 23",6987943
"lan","ᛚᚪᚾ","20 24 9",6889878
"ans","ᚪᚾᛋ","24 9 15",6714475
"ivy","ᛁᚢᚣ","10 1 26",6678000
"dev","ᛞᛖᚢ","23 18 1",6671686
"rem","ᚱᛖᛗ","4 18 19",6629273
"alt","ᚪᛚᛏ","24 20 16",6226609
"abs","ᚪᛒᛋ","24 17 15",6201622
"bug","ᛒᚢᚷ","17 1 6",5949873
"foes","ᚠᛟᛋ","0 22 15",5838244
"vow","ᚢᚩᚹ","1 3 7",5777582
"tying","ᛏᚣᛝ","16 26 21",5744694
"reap","ᚱᛠᛈ","4 28 13",5411420
"err","ᛖᚱᚱ","18 4 4",5363855
"trio","ᛏᚱᛡ","16 4 27",5319898
"nun","ᚾᚢᚾ","9 1 9",5315987
"nan","ᚾᚪᚾ","9 24 9",5240297
"wed","ᚹᛖᛞ","7 18 23",5129191
"sting","ᛋᛏᛝ","15 16 21",5099879
"rip","ᚱᛁᛈ","4 10 13",5058787
"cling","ᚳᛚᛝ","5 20 21",5041931
"eats","ᛠᛏᛋ","28 16 15",5020361
"ode","ᚩᛞᛖ","3 23 18",4976311
"hew","ᚻᛖᚹ","8 18 7",4920509
"feat","ᚠᛠᛏ","0 28 16",4741572
"ire","ᛁᚱᛖ","10 4 18",4543304
"ail","ᚪᛁᛚ","24 10 20",4142811
"liar","ᛚᛡᚱ","20 27 4",4067488
"zen","ᛋᛖᚾ","15 18 9",3808944
"yin","ᚣᛁᚾ","26 10 9",3740669
"tcp","ᛏᚳᛈ","16 5 13",3468784
"easing","ᛠᛋᛝ","28 15 21",3287709
"tao","ᛏᚪᚩ","16 24 3",3139277
"woes","ᚹᛟᛋ","7 22 15",2828933
"git","ᚷᛁᛏ","6 10 16",2684153
"pow","ᛈᚩᚹ","13 3 7",2669180
"sha","ᛋᚻᚪ","15 8 24",2625868
"thor","ᚦᚩᚱ","2 3 4",2572005
"ids","ᛁᛞᛋ","10 23 15",2471973
"yew","ᚣᛖᚹ","26 18 7",2110457
"iff","ᛁᚠᚠ","10 0 0",2050533
"rsa","ᚱᛋᚪ","4 15 24",1984343
"pry","ᛈᚱᚣ","13 4 26",1858014
"wry","ᚹᚱᚣ","7 4 26",1847086
"ftp","ᚠᛏᛈ","0 16 13",1691616
"uri","ᚢᚱᛁ","1 4 10",1540000
"hex","ᚻᛖᛉ","8 18 14",1374967
"binge","ᛒᛝᛖ","17 21 18",1325992
"gif","ᚷᛁᚠ","6 10 0",1189286
"wring","ᚹᚱᛝ","7 4 21",1171057
"dias","ᛞᛡᛋ","23 27 15",978671
"vim","ᚢᛁᛗ","1 10 19",837824
"utc","ᚢᛏᚳ","1 16 5",836945
"gaia","ᚷᚪᛡ","6 24 27",818867
"cgi","ᚳᚷᛁ","5 6 10",812165
"vying","ᚢᚣᛝ","1 26 21",780484
"fib","ᚠᛁᛒ","0 10 17",719274
"eons","ᛇᚾᛋ","12 9 15",534619
"thoth","ᚦᚩᚦ","2 3 2",433209
"winging","ᚹᛝᛝ","7 21 21",388480
"pgp","ᛈᚷᛈ","13 6 13",320781
"earing","ᛠᚱᛝ","28 4 21",274638
"eying","ᛖᚣᛝ","18 26 21",244862
"jpg","ᛂᛈᚷ","11 13 6",191186
"pings","ᛈᛝᛋ","13 21 15",190211
"jar","ᛂᚪᚱ","11 24 4", 11124216
"ive","ᛁᚢᛖ","10 1 18", 6678000
