"latin_word","rune_word","rune_indices","weight"
"the","ᛏᚻᛖ","16 8 18",109892910936
"thy","ᛏᚻᚣ","16 8 26",99995452
"via","ᚢᛁᚪ","1 10 24",73217182
"and","ᚪᚾᛞ","24 9 23",47937009783
"for","ᚠᚩᚱ","0 3 4",15302403424
"was","ᚹᚪᛋ","7 24 15",10290956601
"not","ᚾᚩᛏ","9 3 16",9118812037
"are","ᚪᚱᛖ","24 4 18",7686253918
"his","ᚻᛁᛋ","8 10 15",6001457265
"but","ᛒᚢᛏ","17 1 16",4940207625
"you","ᚣᚩᚢ","26 3 1",4434432450
"had","ᚻᚪᛞ","8 24 23",4241569818
"all","ᚪᛚᛚ","24 20 20",4097656285
"one","ᚩᚾᛖ","3 9 18",4006782287
"has","ᚻᚪᛋ","8 24 15",3731968847
"can","ᚳᚪᚾ","5 24 9",3073208113
"her","ᚻᛖᚱ","8 18 4",2883272435
"may","ᛗᚪᚣ","19 24 26",2867120901
"its","ᛁᛏᛋ","10 16 15",2679098778
"who","ᚹᚻᚩ","7 8 3",2600673223
"any","ᚪᚾᚣ","24 9 26",2485783811
"she","ᛋᚻᛖ","15 8 18",2446135695
"new","ᚾᛖᚹ","9 18 7",2424203133
"two","ᛏᚹᚩ","16 7 3",2051113791
"out","ᚩᚢᛏ","3 1 16",2033382853
"him","ᚻᛁᛗ","8 10 19",2010147182
"our","ᚩᚢᚱ","3 1 4",1826767081
"see","ᛋᛖᛖ","15 18 18",1673284865
"now","ᚾᚩᚹ","9 3 7",1385629919
"each","ᚫᚳᚻ","25 5 8",1323176483
"did","ᛞᛁᛞ","23 10 23",1285300870
"year","ᚣᚫᚱ","26 25 4",1281766354
"use","ᚢᛋᛖ","1 15 18",1214896947
"how","ᚻᚩᚹ","8 3 7",1111042424
"per","ᛈᛖᚱ","13 18 4",999866129
"act","ᚪᚳᛏ","24 5 16",990647463
"way","ᚹᚪᚣ","7 24 26",988676161
"day","ᛞᚪᚣ","23 24 26",978692033
"man","ᛗᚪᚾ","19 24 9",963720636
"law","ᛚᚪᚹ","20 24 7",907279870
"own","ᚩᚹᚾ","3 7 9",852623648
"does","ᛞᛇᛋ","23 12 15",832671954
"men","ᛗᛖᚾ","19 18 9",744149727
"old","ᚩᛚᛞ","3 20 23",666296365
"too","ᛏᚩᚩ","16 3 3",652537030
"end","ᛖᚾᛞ","18 9 23",628907448
"get","ᚷᛖᛏ","6 18 16",621125512
"set","ᛋᛖᛏ","15 18 16",621080365
"say","ᛋᚪᚣ","15 24 26",613162140
"few","ᚠᛖᚹ","0 18 7",583313198
"off","ᚩᚠᚠ","3 0 0",567686961
"area","ᚪᚱᚫ","24 4 25",567130842
"war","ᚹᚪᚱ","7 24 4",564014475
"god","ᚷᚩᛞ","6 3 23",536301750
"far","ᚠᚪᚱ","0 24 4",532571515
"yet","ᚣᛖᛏ","26 18 16",508822233
"head","ᚻᚫᛞ","8 25 23",462461513
"put","ᛈᚢᛏ","13 1 16",456646714
"let","ᛚᛖᛏ","20 18 16",446308118
"due","ᛞᚢᛖ","23 1 18",439255328
"why","ᚹᚻᚣ","7 8 26",424473621
"age","ᚪᚷᛖ","24 6 18",412117977
"low","ᛚᚩᚹ","20 3 7",408425862
"tax","ᛏᚪᛉ","16 24 14",381764837
"real","ᚱᚫᛚ","4 25 20",363342067
"read","ᚱᚫᛞ","4 25 23",349436330
"near","ᚾᚫᚱ","9 25 4",334780632
"non","ᚾᚩᚾ","9 3 9",334691847
"pay","ᛈᚪᚣ","13 24 26",334390956
"six","ᛋᛁᛉ","15 10 14",322242684
"nor","ᚾᚩᚱ","9 3 4",317646354
"sir","ᛋᛁᚱ","15 10 4",312108388
"east","ᚫᛋᛏ","25 15 16",309315323
"art","ᚪᚱᛏ","24 4 16",301837396
"got","ᚷᚩᛏ","6 3 16",290621420
"mean","ᛗᚫᚾ","19 25 9",288165407
"fig","ᚠᛁᚷ","0 10 6",275519890
"saw","ᛋᚪᚹ","15 24 7",262229127
"son","ᛋᚩᚾ","15 3 9",250796109
"yes","ᚣᛖᛋ","26 18 15",249265717
"red","ᚱᛖᛞ","4 18 23",245409599
"ten","ᛏᛖᚾ","16 18 9",237535473
"idea","ᛁᛞᚫ","10 23 25",226913519
"top","ᛏᚩᛈ","16 3 13",223237171
"run","ᚱᚢᚾ","4 1 9",215528492
"cut","ᚳᚢᛏ","5 1 16",211123258
"lead","ᛚᚫᛞ","20 25 23",206743865
"job","ᛂᚩᛒ","11 3 17",203721305
"ask","ᚪᛋᚳ","24 15 5",195876216
"heat","ᚻᚫᛏ","8 25 16",189713833
"box","ᛒᚩᛉ","17 3 14",188304537
"big","ᛒᛁᚷ","17 10 6",187922383
"car","ᚳᚪᚱ","5 24 4",184003248
"ago","ᚪᚷᚩ","24 6 3",180184026
"deal","ᛞᚫᛚ","23 25 20",178351067
"met","ᛗᛖᛏ","19 18 16",175378898
"net","ᚾᛖᛏ","9 18 16",173312067
"led","ᛚᛖᛞ","20 18 23",170138734
"sec","ᛋᛖᚳ","15 18 5",166206497
"key","ᚳᛖᚣ","5 18 26",165057374
"lot","ᛚᚩᛏ","20 3 16",161839348
"hear","ᚻᚫᚱ","8 25 4",155904371
"sum","ᛋᚢᛗ","15 1 19",155240692
"dead","ᛞᚫᛞ","23 25 23",152021594
"add","ᚪᛞᛞ","24 23 23",151263450
"bad","ᛒᚪᛞ","17 24 23",151062418
"bed","ᛒᛖᛞ","17 18 23",147185022
"try","ᛏᚱᚣ","16 4 26",147051755
"eye","ᛖᚣᛖ","18 26 18",143992217
"easy","ᚫᛋᚣ","25 15 26",143664342
"bar","ᛒᚪᚱ","17 24 4",142548605
"sun","ᛋᚢᚾ","15 1 9",140095512
"dry","ᛞᚱᚣ","23 4 26",133651438
"fear","ᚠᚫᚱ","0 25 4",129736537
"lay","ᛚᚪᚣ","20 24 26",128143448
"boy","ᛒᚩᚣ","17 3 26",127727391
"die","ᛞᛁᛖ","23 10 18",124890793
"hot","ᚻᚩᛏ","8 3 16",121008283
"goes","ᚷᛇᛋ","6 12 15",116178504
"bear","ᛒᚫᚱ","17 25 4",107621679
"sat","ᛋᚪᛏ","15 24 16",106179527
"team","ᛏᚫᛗ","16 25 19",105021791
"ill","ᛁᛚᛚ","10 20 20",104437284
"arm","ᚪᚱᛗ","24 4 19",100873695
