"latin_word","rune_word","rune_indices","weight"
"of","ᚩᚠ","3 0",66814257868
"to","ᛏᚩ","16 3",40339942814
"in","ᛁᚾ","10 9",34866898095
"is","ᛁᛋ","10 15",16826450889
"as","ᚪᛋ","24 15",11284536568
"it","ᛁᛏ","10 16",10906969055
"be","ᛒᛖ","17 18",10648774559
"by","ᛒᚣ","17 26",10597402251
"on","ᚩᚾ","3 9",10252666222
"or","ᚩᚱ","3 4",8359480773
"at","ᚪᛏ","24 16",7356366461
"he","ᚻᛖ","8 18",7014830546
"an","ᚪᚾ","24 9",5616065899
"we","ᚹᛖ","7 18",4157118545
"if","ᛁᚠ","10 0",3062437786
"no","ᚾᚩ","9 3",2885500906
"so","ᛋᚩ","15 3",2698668072
"do","ᛞᚩ","23 3",2218728847
"my","ᛗᚣ","19 26",2008525155
"up","ᚢᛈ","1 13",1862957441
"me","ᛗᛖ","19 18",1498343174
"us","ᚢᛋ","1 15",928610289
"go","ᚷᚩ","6 3",600623078
"am","ᚪᛗ","24 19",536678875
"co","ᚳᚩ","5 3",249792572
"sea","ᛋᚫ","15 25",237032625
"id","ᛁᛞ","10 23",67890824
"eat","ᚫᛏ","25 16",66921769
"ear","ᚫᚱ","25 4",54553030
"ct","ᚳᛏ","5 16",53169442
"tea","ᛏᚫ","16 25",51889318
"pi","ᛈᛁ","13 10",27742414
"eon","ᛟᚾ","22 9",1127133
"air","ᛡᚱ","27 4",463719867
"aid","ᛡᛞ","27 23",177456288
"aim","ᛡᛗ","27 19",54860528
"ail","ᛡᛚ","27 20",4142811
