"latin_word","rune_word","rune_indices","weight"
"the","ᚦᛖ","2 18",109892910936
"of","ᚩᚠ","3 0",66814257868
"to","ᛏᚩ","16 3",40339942814
"in","ᛁᚾ","10 9",34866898095
"is","ᛁᛋ","10 15",16826450889
"as","ᚪᛋ","24 15",11284536568
"it","ᛁᛏ","10 16",10906969055
"be","ᛒᛖ","17 18",10648774559
"by","ᛒᚣ","17 26",10597402251
"on","ᚩᚾ","3 9",10252666222
"or","ᚩᚱ","3 4",8359480773
"at","ᚪᛏ","24 16",7356366461
"he","ᚻᛖ","8 18",7014830546
"an","ᚪᚾ","24 9",5616065899
"we","ᚹᛖ","7 18",4157118545
"if","ᛁᚠ","10 0",3062437786
"no","ᚾᚩ","9 3",2885500906
"so","ᛋᚩ","15 3",2698668072
"do","ᛞᚩ","23 3",2218728847
"my","ᛗᚣ","19 26",2008525155
"up","ᚢᛈ","1 13",1862957441
"me","ᛗᛖ","19 18",1498343174
"us","ᚢᛋ","1 15",928610289
"go","ᚷᚩ","6 3",600623078
"am","ᚪᛗ","24 19",536678875
"king","ᚳᛝ","5 21",331849705
"thing","ᚦᛝ","2 21",304444744
"co","ᚳᚩ","5 3",249792572
"sea","ᛋᛠ","15 28",237032625
"thy","ᚦᚣ","2 26",99995452
"ring","ᚱᛝ","4 21",79578630
"via","ᚢᛡ","1 27",73217182
"id","ᛁᛞ","10 23",67890824
"eat","ᛠᛏ","28 16",66921769
"ear","ᛠᚱ","28 4",54553030
"ct","ᚳᛏ","5 16",53169442
"tea","ᛏᛠ","16 28",51889318
"wing","ᚹᛝ","7 21",51831854
"sing","ᛋᛝ","15 21",31857652
"im","ᛁᛗ","10 19", 426393867
"pi","ᛈᛁ","13 10",27742414
"eon","ᛇᚾ","12 9",1127133
