test_path,status,notes
tests/contracts/test_source_traceability_chain.py,implemented,Existing D0 traceability-chain gate.
tests/contracts/test_v1_scope_lock_contract.py,implemented,Strengthened in D7 to lock all forbidden behaviour names.
tests/core/test_scoring_requested_lane_detection.py,implemented,Existing requested-lane detection and build_scorer coverage.
tests/scoring/test_no_silent_hamming_fallback.py,implemented,Existing real NumPy scorer missing-Hamming no-warning gate.
tests/scoring/test_no_silent_span_hamming_fallback.py,implemented,Existing real NumPy scorer missing-span no-warning gate.
tests/scoring/test_requested_lanes_block_not_warn.py,implemented,Added in D7 as parameterised requested-lane block/report-only gate.
tests/contracts/test_experimental_boundary_ngram_hamming_not_v1.py,implemented,Existing report-only/no-rank-effect boundary.
tests/contracts/test_resume_boundary_contract.py,implemented,Existing full-save-restore roadmap boundary.
tests/ciphers/test_scheduled_stream_lookup_strict_config.py,implemented,Added in D7 strict scheduled-stream config gate.
tests/ciphers/test_scheduled_stream_lookup_schedule_modes.py,implemented,Added in D7 schedule-mode roundtrip gate.
tests/ciphers/test_scheduled_stream_lookup_degeneracy_policy.py,implemented,Added in D7 degeneracy policy/candidate-list gate.
experimental/tests/scoring/test_retained_state_plaintext_rescore.py,not_v1_production,Experimental branch/path is not part of V1 release tree; covered by report-only boundary tests in V1.
tests/api/test_artifact_agreement.py,implemented,Existing public artifact portability agreement gate.
tests/api/test_public_execution_boundary.py,implemented,Migrated in AN3 to the canonical run-only public execution boundary.
tests/contracts/test_asset_registry_contract.py,implemented,Added in D7 as thin contract over LM root/index helpers plus ECDFCache status methods.
tests/core/test_capability_gates.py,implemented,Existing core capability-gate test covers helper semantics; do not add duplicate basename under tests/contracts.
tests/contracts/test_component_contracts.py,implemented,Existing typed component/lane contract tests.
tests/contracts/test_no_raw_string_core_labels.py,implemented,Added in D7 API-string-to-core-enum and raw-label rejection gate.
tests/contracts/test_no_silent_fallback_contract.py,implemented,Added in D7 generic requested-lane no-silent-fallback gate.
tests/contracts/test_oracle_truth_separation_contract.py,implemented,Added in D7 solver-report oracle/truth separation gate.
tests/contracts/test_scorer_registry_contract.py,implemented,Added in D7 stable scorer-lane registry/BaseScorer interface gate.
tests/contracts/test_source_decision_ledger_completeness.py,implemented,Added in D7 source decision completeness gate.
tests/core/test_no_dead_config_shim_imports.py,implemented,Added in D7 split-config package/dead-shim cleanup gate.
tests/scoring/language_model/test_ecdf_status_reporting.py,implemented,Added in D7 against ECDFCache validation/status methods with temp ECDF assets.
tests/scoring/language_model/test_lm_asset_status.py,implemented,Added in D7 against resolve_lm_root/load_index structured path/index handling.
tests/scoring/test_report_only_sections_have_no_rank_effect.py,implemented,Added in D7 report-only scorer lane no-rank-effect gate.
tests/scoring/test_scorer_lane_status_report.py,implemented,Added in D7 scorer-lane status report gate.
tests/scoring/test_scorer_report_lane_sections.py,implemented,Added in D7 scorer report-section JSON portability gate.
