decision_id,area,decision,status,implementation_effect
V1-DEC-001,Authority,The June 10 D0-D7 unified hardening handoff is the primary V1 design authority. v1_docs and the hardened pre-WP7 implementation provide detailed intended shape. Explicit WP6/WP7 additions extend that baseline. Current docs explain it. Tests enforce it but do not automatically redefine it.,resolved,Publish this hierarchy in repository-owned V1 authority documentation and use it to resolve drift.
V1-DEC-002,Silent loss,"Supported inputs, wrapper options, scorer lanes and configuration fields must run as requested, use an explicitly reported fallback where the contract permits one, or raise a clear blocking error. Silent dropping is a defect.",resolved,"Correct by_name, scoring weights, requested lanes and related compatibility routes without asking for a new product decision."
V1-DEC-003,Tutorial scope,"Only tutorials/v1 is the V1 tutorial surface. Development, campaign and historical folders are not V1 tutorials.",resolved,"Assess non-tutorial development material only for isolation, provenance, reusable framework value and accidental packaging."
V1-DEC-004,Two-period staged solver goal,"The final V1 goal includes a native staged two-period solver, using the normal RDP public API and report surfaces, with the existing V1 interruptor model, obtainable full language assets, a simple tutorial and a genuine solving example.",resolved,The current specialised route's blanket interruptor rejection is an integration gap. Reuse existing InterruptorConfig/exact/pool semantics; do not build a separate workflow framework.
V1-DEC-005,Assets and scoring,Do not weaken accepted scorer design to fit CI-light. All assets required by supported V1 scorers/tutorials must be obtainable through the extended GitHub release asset package and labelled consistently. CI tiers may deliberately install smaller profiles and run smaller gates.,resolved,"Keep the accepted LM1-4 two-period F1 profile; fix asset packaging, installer profiles, tutorial labels and CI selection."
V1-DEC-006,Documentation,"v1_docs is the newer content authority but must be selectively merged into one canonical docs tree. Preserve stronger existing material, remove contradictions and retire or mark superseded duplicates.",resolved,"Documentation is a major release workstream, including README/GitHub front page, examples, user journeys and a release/forum post."
V1-DEC-007,Release artefacts,"V1 uses four distinct release artefacts: production wheel, standard production sdist, extended full V1 asset package, and deterministic curated source/scientific-evidence ZIP containing the retained Pack 09 fixture closure.",resolved,Keep cipher_development and historical experiments out of the production wheel; package the approved fixture separately with hashes and source identity.
V1-DEC-008,Python/platform,Python 3.11 or newer is the minimum. The formal V1 release-proof matrix is Python 3.11 on Windows and Ubuntu/Linux. Other combinations may work but are not claimed as release-proven unless separately gated.,resolved,"Align metadata, documentation and CI wording."
V1-DEC-009,Branching,main holds released versions; develop is the ongoing integration branch after V1; short-lived feature/fix/docs/test branches merge into develop; temporary release branches merge to main and back to develop. Maintenance remains light-touch rather than ceremonial.,resolved,"Complete final integration on release/v1.0.0 from the reviewed baseline, merge/tag main, then create or reset develop from the released main."
V1-DEC-010,Test review,"The test-system review is part of V1. Every test receives census-level coverage; release-critical V1 and known experimental capability tests receive deep review; repetitive low-risk cleanup may be grouped. Campaign-specific tests remain only when they protect a reusable framework, deterministic evidence or an explicitly retained scientific fixture.",resolved,"Do not attempt 1,500 prose reviews. Build a systemised catalogue, tier model, contract mapping and risk-based dispositions before release."
