source_id,source_material,source_topic,wp_claims_after_repair,corrected_design_decision,target_file_or_boundary,acceptance_tests_from_source_row,acceptance_matrix_links_after_repair,chain_status
G01,live_github::src/rune_decrypter_prime/core/types.py,Typed core enums and objective types,WP01 Core contract types: adopt_and_merge / B — Typed core contracts and shared status vocabulary,adopt -> core typed contracts; Do not replace with raw string labels; extend with component/status enums.,src/rune_decrypter_prime/core/types.py,tests/contracts/test_component_contracts.py,A00 release authority: tests/contracts/test_v1_scope_lock_contract.py | B00 typed core contracts: tests/contracts/test_component_contracts.py | B01 typed core contracts: tests/contracts/test_no_raw_string_core_labels.py | E02 ScoringConfig: tests/core/test_scoring_requested_lane_detection.py; tests/contracts/test_no_raw_string_core_labels.py,ok
G02,live_github::src/rune_decrypter_prime/core/config/scoring.py,ScoringConfig already carries Hamming/span-Hamming/word-ngram knobs,"WP14 Scorer, language-model, and asset exposure: adapt / C + D + E — Scorer lane, LM, asset, and backend status | WP18 Scorer lane integration: adapt / C + D — One scorer interface, explicit V1 lanes",adapt -> scoring config + capability gates; Add strict requested-lane fields and normalise string boundary inputs into enums/contracts.,src/rune_decrypter_prime/core/config/scoring.py,tests/contracts/test_no_silent_fallback_contract.py,A00 release authority: tests/contracts/test_v1_scope_lock_contract.py | D01 scorer registry: tests/contracts/test_scorer_registry_contract.py; tests/scoring/test_scorer_lane_status_report.py | E00 ScoringConfig: tests/core/test_scoring_requested_lane_detection.py | E01 ScoringConfig: tests/core/test_scoring_requested_lane_detection.py | E02 ScoringConfig: tests/core/test_scoring_requested_lane_detection.py; tests/contracts/test_no_raw_string_core_labels.py | F01 span-Hamming strictness: tests/scoring/test_no_silent_span_hamming_fallback.py | F03 default scorer compatibility: existing default scorer tests; tests/scoring/test_requested_lanes_block_not_warn.py | G00 span-Hamming backend: tests/scoring/span_hamming/test_span_hamming_backend.py | G03 calibrated span-Hamming: tests/scoring/span_hamming/test_calibrated_assets.py | G04 span-Hamming LM/profile extension: tests/scoring/span_hamming/test_lm_assets_v2.py; tests/scoring/span_hamming/test_lm_robustness_smoke.py,ok
G03,live_github::src/rune_decrypter_prime/scoring/rune_scorer.py,Hamming backend currently warning-skips,WP13 Capability gates and blocked reasons: adopt / B + C + D — Capability gates and requested/effective state | WP19 Strict cleanup and deprecation: adopt_aggressive / I — Strict cleanup and deprecation,adopt_fix -> strict requested-lane behaviour; Replace warning-and-skip with block unless explicit fallback is allowed and reported.,src/rune_decrypter_prime/scoring/rune_scorer.py,tests/scoring/test_no_silent_hamming_fallback.py,C00 capability gates: tests/contracts/test_capability_gates.py; tests/contracts/test_no_silent_fallback_contract.py | C02 capability gates: tests/contracts/test_no_silent_fallback_contract.py | C03 capability gates: tests/scoring/test_requested_lanes_block_not_warn.py | E00 ScoringConfig: tests/core/test_scoring_requested_lane_detection.py | F00 Hamming strictness: tests/scoring/test_no_silent_hamming_fallback.py,ok
G04,live_github::src/rune_decrypter_prime/scoring/rune_scorer.py,Raw span-Hamming currently warning-skips,WP13 Capability gates and blocked reasons: adopt / B + C + D — Capability gates and requested/effective state | WP19 Strict cleanup and deprecation: adopt_aggressive / I — Strict cleanup and deprecation,"adopt_fix -> span-Hamming V1; Make all requested span-Hamming modes V1-strict: run, block, or explicit reported fallback.",src/rune_decrypter_prime/scoring/rune_scorer.py,tests/scoring/test_no_silent_span_hamming_fallback.py,C00 capability gates: tests/contracts/test_capability_gates.py; tests/contracts/test_no_silent_fallback_contract.py | C02 capability gates: tests/contracts/test_no_silent_fallback_contract.py | C03 capability gates: tests/scoring/test_requested_lanes_block_not_warn.py | E01 ScoringConfig: tests/core/test_scoring_requested_lane_detection.py | F01 span-Hamming strictness: tests/scoring/test_no_silent_span_hamming_fallback.py | G03 calibrated span-Hamming: tests/scoring/span_hamming/test_calibrated_assets.py,ok
G05,live_github::src/rune_decrypter_prime/scoring/rune_scorer.py,Span-Hamming telemetry already exists,"WP02 Diagnostics hooks: adapt / C — Diagnostics as component/lane/asset status | WP14 Scorer, language-model, and asset exposure: adapt / C + D + E — Scorer lane, LM, asset, and backend status | WP18 Scorer lane integration: adapt / C + D — One scorer interface, explicit V1 lanes",adapt -> scorer report + lane status; Convert existing telemetry into structured LaneStatus/AssetStatus fields without losing detail.,src/rune_decrypter_prime/scoring/rune_scorer.py,tests/scoring/test_scorer_lane_status_report.py,D01 scorer registry: tests/contracts/test_scorer_registry_contract.py; tests/scoring/test_scorer_lane_status_report.py | F02 strict fallback reporting: tests/scoring/test_scorer_lane_status_report.py; tests/contracts/test_no_silent_fallback_contract.py | G03 calibrated span-Hamming: tests/scoring/span_hamming/test_calibrated_assets.py | G04 span-Hamming LM/profile extension: tests/scoring/span_hamming/test_lm_assets_v2.py; tests/scoring/span_hamming/test_lm_robustness_smoke.py | G05 span-Hamming integration: tests/scoring/test_span_hamming_integration.py; tests/scoring/test_scorer_lane_status_report.py | H00 scorer reports: tests/scoring/test_scorer_report_lane_sections.py,ok
G06,live_github::src/rune_decrypter_prime/ciphers/scheduled_stream_lookup_cipher.py,ScheduledStreamLookup strict config helpers,WP08 Simple cipher tutorial suite: adopt / H — Simple cipher tutorials and ScheduledStreamLookup demos | WP10 Scheduled-stream / overlay cipher: adopt / F — ScheduledStreamLookup V1 cipher contract,"adopt -> ScheduledStreamLookup V1 cipher contract; Keep canonical cipher; add/retain tests for schedule, stream direction, anchor, degeneracy, and backwards/end-anchored streams.",src/rune_decrypter_prime/ciphers/scheduled_stream_lookup_cipher.py,tests/ciphers/test_scheduled_stream_lookup_strict_config.py,I00 ScheduledStreamLookup canonical cipher: tests/api/test_scheduled_stream_lookup_wrappers.py; tests/ciphers/test_scheduled_stream_lookup_strict_config.py | I01 scheduled stream validation: tests/ciphers/test_scheduled_stream_lookup_strict_config.py; tests/ciphers/test_scheduled_stream_lookup_schedule_modes.py | I02 degeneracy policy: tests/ciphers/test_scheduled_stream_lookup_degeneracy_policy.py | I03 lossless config coercion: tests/ciphers/test_scheduled_stream_lookup_strict_config.py | I04 real solve tutorials: tests/tutorials/test_scheduled_stream_lookup_real_solve_tutorial.py; tests/api/test_scheduled_stream_lookup_wrappers.py | K02 docs/tutorial cleanup: tests/tutorials/test_scheduled_stream_lookup_real_solve_tutorial.py; tests/contracts/test_v1_scope_lock_contract.py,ok
G07,live_github::src/rune_decrypter_prime/api/run.py,Run API compatibility aliases,WP19 Strict cleanup and deprecation: adopt_aggressive / I — Strict cleanup and deprecation,cleanup_candidate -> strict cleanup/deprecation; Either remove in clean V1 or declare/document/test as public API; do not leave accidental aliases.,src/rune_decrypter_prime/api/run.py,tests/api/test_no_legacy_solve_alias.py,K00 legacy alias cleanup: tests/api/test_no_legacy_solve_alias.py,ok
G08,live_github::src/rune_decrypter_prime/api/pipeline.py,Run pipeline materialises ProblemSpec and EngineConfig,"WP00 Release branch and manifest: adopt / A — Release authority, manifest, and scope lock",preserve -> single run path; Keep one canonical run path; do not bolt on a parallel no-WLI runtime path.,src/rune_decrypter_prime/api/pipeline.py,tests/api/test_run_uses_canonical_pipeline.py,,ok
G09,live_github::src/rune_decrypter_prime/scoring/scorer_report.py,Scorer report JSON-safety,"WP02 Diagnostics hooks: adapt / C — Diagnostics as component/lane/asset status | WP14 Scorer, language-model, and asset exposure: adapt / C + D + E — Scorer lane, LM, asset, and backend status",preserve -> reporting contract; Extend reports with component/lane status without weakening JSON safety.,src/rune_decrypter_prime/scoring/scorer_report.py,tests/api/test_solver_report_builder.py,H01 JSON safety: tests/api/test_solver_report_builder.py; tests/scoring/test_scorer_report_lane_sections.py,ok
G10,live_github::src/rune_decrypter_prime/scoring/scorer_report_builder.py,Scorer report builder extracts details from telemetry,"WP02 Diagnostics hooks: adapt / C — Diagnostics as component/lane/asset status | WP14 Scorer, language-model, and asset exposure: adapt / C + D + E — Scorer lane, LM, asset, and backend status",adapt -> scorer report sections; Use it as the integration point for lane/asset/backend status sections.,src/rune_decrypter_prime/scoring/scorer_report_builder.py,tests/scoring/test_scorer_report_lane_sections.py,D01 scorer registry: tests/contracts/test_scorer_registry_contract.py; tests/scoring/test_scorer_lane_status_report.py | F02 strict fallback reporting: tests/scoring/test_scorer_lane_status_report.py; tests/contracts/test_no_silent_fallback_contract.py | G05 span-Hamming integration: tests/scoring/test_span_hamming_integration.py; tests/scoring/test_scorer_lane_status_report.py | H00 scorer reports: tests/scoring/test_scorer_report_lane_sections.py | H01 JSON safety: tests/api/test_solver_report_builder.py; tests/scoring/test_scorer_report_lane_sections.py,ok
