latin_word,rune_word,rune_indices,weight
ETH,ᛖᚦ,18 2,1.0
FO,ᚠᚩ,0 3,1.0
OT,ᚩᛏ,3 16,1.0
NI,ᚾᛁ,9 10,1.0
SI,ᛋᛁ,15 10,1.0
SA,ᛋᚪ,15 24,1.0
TI,ᛏᛁ,16 10,1.0
EB,ᛖᛒ,18 17,1.0
YB,ᚣᛒ,26 17,1.0
NO,ᚾᚩ,9 3,1.0
RO,ᚱᚩ,4 3,1.0
TA,ᛏᚪ,16 24,1.0
EH,ᛖᚻ,18 8,1.0
NA,ᚾᚪ,9 24,1.0
EW,ᛖᚹ,18 7,1.0
FI,ᚠᛁ,0 10,1.0
ON,ᚩᚾ,3 9,1.0
OS,ᚩᛋ,3 15,1.0
OD,ᚩᛞ,3 23,1.0
YM,ᚣᛗ,26 19,1.0
PU,ᛈᚢ,13 1,1.0
EM,ᛖᛗ,18 19,1.0
SU,ᛋᚢ,15 1,1.0
OG,ᚩᚷ,3 6,1.0
MA,ᛗᚪ,19 24,1.0
(I)NGC,ᛝᚳ,21 5,1.0
(I)NGTH,ᛝᚦ,21 2,1.0
OC,ᚩᚳ,3 5,1.0
EAS,ᛠᛋ,28 15,1.0
YTH,ᚣᚦ,26 2,1.0
(I)NGR,ᛝᚱ,21 4,1.0
IOU,ᛡᚢ,27 1,1.0
DI,ᛞᛁ,23 10,1.0
TEA,ᛏᛠ,16 28,1.0
REA,ᚱᛠ,4 28,1.0
TC,ᛏᚳ,16 5,1.0
EAT,ᛠᛏ,28 16,1.0
(I)NGW,ᛝᚹ,21 7,1.0
(I)NGS,ᛝᛋ,21 15,1.0
IP,ᛁᛈ,10 13,1.0
NEO,ᚾᛇ,9 12,1.0
