latin_word,rune_word,rune_indices,weight
DNA,ᛞᚾᚪ,23 9 24,1.0
TATH,ᛏᚪᚦ,16 24 2,1.0
ROF,ᚱᚩᚠ,4 3 0,1.0
THIW,ᚦᛁᚹ,2 10 7,1.0
SAW,ᛋᚪᚹ,15 24 7,1.0
TON,ᛏᚩᚾ,16 3 9,1.0
SITH,ᛋᛁᚦ,15 10 2,1.0
ERA,ᛖᚱᚪ,18 4 24,1.0
SIH,ᛋᛁᚻ,15 10 8,1.0
TUB,ᛏᚢᛒ,16 1 17,1.0
UOY,ᚢᚩᚣ,1 3 26,1.0
YETH,ᚣᛖᚦ,26 18 2,1.0
DAH,ᛞᚪᚻ,23 24 8,1.0
LLA,ᛚᛚᚪ,20 20 24,1.0
ENO,ᛖᚾᚩ,18 9 3,1.0
SAH,ᛋᚪᚻ,15 24 8,1.0
NAC,ᚾᚪᚳ,9 24 5,1.0
REH,ᚱᛖᚻ,4 18 8,1.0
YAM,ᚣᚪᛗ,26 24 19,1.0
STI,ᛋᛏᛁ,15 16 10,1.0
OHW,ᚩᚻᚹ,3 8 7,1.0
YNA,ᚣᚾᚪ,26 9 24,1.0
EHS,ᛖᚻᛋ,18 8 15,1.0
WEN,ᚹᛖᚾ,7 18 9,1.0
NATH,ᚾᚪᚦ,9 24 2,1.0
METH,ᛗᛖᚦ,19 18 2,1.0
OWT,ᚩᚹᛏ,3 7 16,1.0
TUO,ᛏᚢᚩ,16 1 3,1.0
MIH,ᛗᛁᚻ,19 10 8,1.0
RUO,ᚱᚢᚩ,4 1 3,1.0
EES,ᛖᛖᛋ,18 18 15,1.0
NETH,ᚾᛖᚦ,9 18 2,1.0
WON,ᚹᚩᚾ,7 3 9,1.0
HCEA,ᚻᚳᛠ,8 5 28,1.0
(I)NGEB,ᛝᛖᛒ,21 18 17,1.0
DID,ᛞᛁᛞ,23 10 23,1.0
REAY,ᚱᛠᚣ,4 28 26,1.0
ESU,ᛖᛋᚢ,18 15 1,1.0
WOH,ᚹᚩᚻ,7 3 8,1.0
THOB,ᚦᚩᛒ,2 3 17,1.0
REP,ᚱᛖᛈ,4 18 13,1.0
TCA,ᛏᚳᚪ,16 5 24,1.0
YAW,ᚣᚪᚹ,26 24 7,1.0
YAD,ᚣᚪᛞ,26 24 23,1.0
NAM,ᚾᚪᛗ,9 24 19,1.0
(I)NGOL,ᛝᚩᛚ,21 3 20,1.0
WAL,ᚹᚪᛚ,7 24 20,1.0
NWO,ᚾᚹᚩ,9 7 3,1.0
SOED,ᛋᛟᛞ,15 22 23,1.0
NEM,ᚾᛖᛗ,9 18 19,1.0
DLO,ᛞᛚᚩ,23 20 3,1.0
OOT,ᚩᚩᛏ,3 3 16,1.0
DNE,ᛞᚾᛖ,23 9 18,1.0
TEG,ᛏᛖᚷ,16 18 6,1.0
TES,ᛏᛖᛋ,16 18 15,1.0
YAS,ᚣᚪᛋ,26 24 15,1.0
SUTH,ᛋᚢᚦ,15 1 2,1.0
WEF,ᚹᛖᚠ,7 18 0,1.0
FFO,ᚠᚠᚩ,0 0 3,1.0
EARA,ᛠᚱᚪ,28 4 24,1.0
RAW,ᚱᚪᚹ,4 24 7,1.0
DOG,ᛞᚩᚷ,23 3 6,1.0
RAF,ᚱᚪᚠ,4 24 0,1.0
TEY,ᛏᛖᚣ,16 18 26,1.0
RIA,ᚱᛁᚪ,4 10 24,1.0
DEAH,ᛞᛠᚻ,23 28 8,1.0
TUP,ᛏᚢᛈ,16 1 13,1.0
TEL,ᛏᛖᛚ,16 18 20,1.0
