latin_word,rune_word,rune_indices,weight
THE,ᚦᛖ,2 18,1.0
OF,ᚩᚠ,3 0,1.0
TO,ᛏᚩ,16 3,1.0
IN,ᛁᚾ,10 9,1.0
IS,ᛁᛋ,10 15,1.0
AS,ᚪᛋ,24 15,1.0
IT,ᛁᛏ,10 16,1.0
BE,ᛒᛖ,17 18,1.0
BY,ᛒᚣ,17 26,1.0
ON,ᚩᚾ,3 9,1.0
OR,ᚩᚱ,3 4,1.0
AT,ᚪᛏ,24 16,1.0
HE,ᚻᛖ,8 18,1.0
AN,ᚪᚾ,24 9,1.0
WE,ᚹᛖ,7 18,1.0
IF,ᛁᚠ,10 0,1.0
NO,ᚾᚩ,9 3,1.0
SO,ᛋᚩ,15 3,1.0
DO,ᛞᚩ,23 3,1.0
MY,ᛗᚣ,19 26,1.0
UP,ᚢᛈ,1 13,1.0
ME,ᛗᛖ,19 18,1.0
US,ᚢᛋ,1 15,1.0
GO,ᚷᚩ,6 3,1.0
AM,ᚪᛗ,24 19,1.0
C(I)NG,ᚳᛝ,5 21,1.0
TH(I)NG,ᚦᛝ,2 21,1.0
CO,ᚳᚩ,5 3,1.0
SEA,ᛋᛠ,15 28,1.0
THY,ᚦᚣ,2 26,1.0
R(I)NG,ᚱᛝ,4 21,1.0
UIO,ᚢᛡ,1 27,1.0
ID,ᛁᛞ,10 23,1.0
EAT,ᛠᛏ,28 16,1.0
EAR,ᛠᚱ,28 4,1.0
CT,ᚳᛏ,5 16,1.0
TEA,ᛏᛠ,16 28,1.0
W(I)NG,ᚹᛝ,7 21,1.0
S(I)NG,ᛋᛝ,15 21,1.0
PI,ᛈᛁ,13 10,1.0
EON,ᛇᚾ,12 9,1.0
