aggregate_rows,bytes,count_sum,dictionary_cut,dictionary_kept_rows,direction,manifest_path,ngram_order,output_file,output_file_exists,shard_index,source_file_name
4972,311275,1433399029,normal,4994,fwd,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0001__1_10.txt/shard_manifest.json,2,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0001__1_10.txt/normal_fwd/ngram2.csv.gz,True,1,1 10.txt
1177,74261,1110489906,strict,1179,fwd,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0001__1_10.txt/shard_manifest.json,2,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0001__1_10.txt/strict_fwd/ngram2.csv.gz,True,1,1 10.txt
86,4071,1277078815,normal,86,fwd,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0002__1_2.txt/shard_manifest.json,2,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0002__1_2.txt/normal_fwd/ngram2.csv.gz,True,2,1 2.txt
84,3982,1277030575,strict,84,fwd,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0002__1_2.txt/shard_manifest.json,2,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0002__1_2.txt/strict_fwd/ngram2.csv.gz,True,2,1 2.txt
1239,56581,5059790614,normal,1249,fwd,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0003__1_3.txt/shard_manifest.json,2,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0003__1_3.txt/normal_fwd/ngram2.csv.gz,True,3,1 3.txt
1239,56579,5059790614,strict,1249,fwd,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0003__1_3.txt/shard_manifest.json,2,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0003__1_3.txt/strict_fwd/ngram2.csv.gz,True,3,1 3.txt
4522,216724,9277295790,normal,4550,fwd,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0004__1_4.txt/shard_manifest.json,2,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0004__1_4.txt/normal_fwd/ngram2.csv.gz,True,4,1 4.txt
4513,216297,9276946828,strict,4541,fwd,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0004__1_4.txt/shard_manifest.json,2,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0004__1_4.txt/strict_fwd/ngram2.csv.gz,True,4,1 4.txt
7787,391219,6978041416,normal,7818,fwd,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0005__1_5.txt/shard_manifest.json,2,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0005__1_5.txt/normal_fwd/ngram2.csv.gz,True,5,1 5.txt
1968,103229,6112736420,strict,1972,fwd,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0005__1_5.txt/shard_manifest.json,2,output/tools/benchmarks/periodic_sub_trans/no_wli/analysis/phaseB_ngram_hamming_full_raw_asset_shards_v1/20260530T120414Z__phaseB_ngram_hamming_full_raw_asset_shards_v1/order_2/shard_0005__1_5.txt/strict_fwd/ngram2.csv.gz,True,5,1 5.txt
