aggregate_rows,count_sum,dictionary_cut,dictionary_kept_rows,direction,ngram_order,phrase_token_length,row_count,source_output_file_count
172,12579861431,normal,172,fwd,2,3,172,2
4256,83813041292,normal,4276,fwd,2,4,4256,3
52986,122172562656,normal,53332,fwd,2,5,52986,4
336553,169681288887,normal,338541,fwd,2,6,336553,5
1207883,182438005047,normal,1214216,fwd,2,7,1207883,6
2945086,169015716678,normal,2958746,fwd,2,8,2945086,7
5399381,161415332628,normal,5419817,fwd,2,9,5399381,8
8025643,140570857670,normal,8050182,fwd,2,10,8025643,8
10236222,121466687636,normal,10262367,fwd,2,11,10236222,10
11658516,97331307287,normal,11686417,fwd,2,12,11658516,9
12140493,72875513689,normal,12170024,fwd,2,13,12140493,11
11709967,52213543286,normal,11740486,fwd,2,14,11709967,11
10537557,37424273819,normal,10569151,fwd,2,15,10537557,11
8834954,25068912751,normal,8865301,fwd,2,16,8834954,9
6997188,18023963340,normal,7024935,fwd,2,17,6997188,9
4910675,11963445765,normal,4933088,fwd,2,18,4910675,9
2926623,6683678097,normal,2944538,fwd,2,19,2926623,7
1348849,2921450658,normal,1357439,fwd,2,20,1348849,4
600624,1207501238,normal,604471,fwd,2,21,600624,4
183842,345779203,normal,185269,fwd,2,22,183842,1
50323,80944943,normal,50896,fwd,2,24,50323,1
168,12579792405,strict,168,fwd,2,3,168,2
4203,83812350418,strict,4223,fwd,2,4,4203,3
52764,122169884431,strict,53110,fwd,2,5,52764,4
324275,168550029485,strict,326210,fwd,2,6,324275,5
1029366,170290523984,strict,1034929,fwd,2,7,1029366,6
1950851,146872001157,strict,1960818,fwd,2,8,1950851,7
2521124,134688927256,strict,2531321,fwd,2,9,2521124,8
3144249,112321905183,strict,3153960,fwd,2,10,3144249,8
3599475,93239392710,strict,3607860,fwd,2,11,3599475,10
3811311,73388225924,strict,3818122,fwd,2,12,3811311,9
3782723,53678614820,strict,3788018,fwd,2,13,3782723,11
3556744,37300257462,strict,3561077,fwd,2,14,3556744,11
3173860,26031131261,strict,3177203,fwd,2,15,3173860,11
2642313,16728803243,strict,2645326,fwd,2,16,2642313,9
2091098,11817322240,strict,2093605,fwd,2,17,2091098,9
1485935,7792304250,strict,1487616,fwd,2,18,1485935,9
932575,4321468528,strict,934474,fwd,2,19,932575,7
414342,1734723992,strict,415433,fwd,2,20,414342,4
211035,774920600,strict,211294,fwd,2,21,211035,4
64522,221555428,strict,64522,fwd,2,22,64522,1
19578,54190444,strict,19682,fwd,2,24,19578,1
7967,1137254644,normal,7973,fwd,3,5,7967,4
103819,8876837039,normal,104070,fwd,3,6,103819,7
