aggregate_rows,count_sum,dictionary_cut,dictionary_kept_rows,direction,ngram_order,row_count,source_output_file_count,word_position,word_token_length
53749,40015993610,normal,53929,fwd,2,53749,9,1,1
848257,401354293089,normal,851158,fwd,2,848257,13,1,2
4542360,277697604746,normal,4559515,fwd,2,4542360,12,1,3
11154362,197721831744,normal,11201053,fwd,2,11154362,13,1,4
15323156,146416568303,normal,15371202,fwd,2,15323156,12,1,5
17220490,119642808988,normal,17264152,fwd,2,17220490,13,1,6
15909044,106984126668,normal,15944492,fwd,2,15909044,13,1,7
13309769,79204411323,normal,13347537,fwd,2,13309769,11,1,8
10260249,57372164825,normal,10297279,fwd,2,10260249,10,1,9
5790531,34388223227,normal,5812952,fwd,2,5790531,9,1,10
3627062,18734641580,normal,3646930,fwd,2,3627062,10,1,11
1310863,7961721502,normal,1321314,fwd,2,1310863,7,1,12
576517,1471139115,normal,580202,fwd,2,576517,4,1,13
181384,328139281,normal,181949,fwd,2,181384,3,1,14
49001,33432618624,normal,49180,fwd,2,49001,9,2,1
837050,354606208876,normal,839907,fwd,2,837050,12,2,2
4667498,245146332967,normal,4684053,fwd,2,4667498,12,2,3
11491647,206258691310,normal,11535245,fwd,2,11491647,14,2,4
15727494,161890029666,normal,15780927,fwd,2,15727494,13,2,5
16727193,134141712671,normal,16770525,fwd,2,16727193,13,2,6
15696389,120632993252,normal,15731845,fwd,2,15696389,13,2,7
13748050,92124705066,normal,13787781,fwd,2,13748050,13,2,8
8926335,64971118081,normal,8954257,fwd,2,8926335,9,2,9
6782238,42908395814,normal,6814220,fwd,2,6782238,11,2,10
3685957,21713071739,normal,3704431,fwd,2,3685957,9,2,11
1412030,9046160605,normal,1421690,fwd,2,1412030,6,2,12
232368,2109622757,normal,234451,fwd,2,232368,3,2,13
124543,312006573,normal,125152,fwd,2,124543,2,2,14
17042,35661979607,strict,17088,fwd,2,17042,9,1,1
318907,357994163231,strict,319647,fwd,2,318907,13,1,2
2321134,255081718258,strict,2330335,fwd,2,2321134,12,1,3
